Id;Hora de inacio;Hora de conclusao;Email;Nome;Qual a a sua identidade de ganero?;Qual disciplina voca esta cursando?;a sua primeira vez cursando a disciplina?;Voca apresenta algum transtorno neurobiolagico? (TDAH, TEA, distarbios da aprendizagem, entre outros);Menaaes (Exemplo: MMaou MS)..Selecione;Visualizar o gabarito de cada questao..Selecione;Exibir a explicaaao correspondente ao gabarito de cada questao..Selecione;Indicaaao do material de estudo necessario para revisaes do conteado..Selecione;Visualizar os temas dos conteados que tiveram baixa taxa de acerto por meio de indicaaaes textuais..Selecione;Visualizar um grafico com uma divisao por temas em um conteado informando o desempenho na avaliaaao..Selecione;Reuniao com o professor da disciplina para discutir sobre o resultado na avaliaaao e receber um Feedback humano..Selecione;Relatario no formato PDF com um feedback descritivo do desempenho do aluno na avaliaaao.a.Selecione
1;06/11/2023 11:01;06/11/2023 11:02;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;1;3;5;5;4;4;3;5
2;07/11/2023 09:48;07/11/2023 09:49;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;3;5;5;5;5;3;3;3
3;07/11/2023 09:47;07/11/2023 09:49;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;4;5;5;4;3
4;07/11/2023 09:48;07/11/2023 09:49;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Sim.;5;5;5;5;5;3;5;3
5;07/11/2023 09:48;07/11/2023 09:49;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;4;4;5
6;07/11/2023 09:48;07/11/2023 09:49;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Sim.;4;5;5;5;4;4;3;4
7;07/11/2023 09:48;07/11/2023 09:49;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;5;4;3;3;3
8;07/11/2023 09:48;07/11/2023 09:50;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;5;5;5;5;5
9;07/11/2023 09:48;07/11/2023 09:50;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao Sei.;5;4;5;5;5;4;4;5
10;07/11/2023 09:48;07/11/2023 09:50;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;4;3;1
11;07/11/2023 09:48;07/11/2023 09:50;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;5;5;3;3;5
12;07/11/2023 09:48;07/11/2023 09:50;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;4;4;5;5;5;5;4;4
13;07/11/2023 09:48;07/11/2023 09:50;anonymous;anonymous;Masculino.;Requisitos de Software.;Nao.;Nao Sei.;5;5;3;5;3;4;5;4
14;07/11/2023 09:49;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Nao.;Sim.;5;4;4;5;4;4;4;4
15;07/11/2023 09:49;07/11/2023 09:51;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao.;3;5;5;1;5;5;1;4
16;07/11/2023 09:48;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;4;4;5;5;5;4;3;5
17;07/11/2023 09:48;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;4;5;4;3;3;3
18;07/11/2023 09:50;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;4;5;5;3;4
19;07/11/2023 09:49;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;1;3;3
20;07/11/2023 09:50;07/11/2023 09:51;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;5;5;5
21;07/11/2023 09:50;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Sim.;5;5;5;5;5;5;3;5
22;07/11/2023 09:49;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;5;5;5;5;1
23;07/11/2023 09:48;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;3;5;4;4;3;3
24;07/11/2023 09:48;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;2;4;5;5;5;5;3;5
25;07/11/2023 09:49;07/11/2023 09:51;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;2;3;4;3;3
26;07/11/2023 09:50;07/11/2023 09:52;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;3;3;3;2;2;2;2;2
27;07/11/2023 09:48;07/11/2023 09:52;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;4;5;3;3;3;3
28;07/11/2023 09:48;07/11/2023 09:52;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;5;4;3;3;3
29;07/11/2023 09:51;07/11/2023 09:52;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;4;5;2;2;3;3
30;07/11/2023 10:08;07/11/2023 10:09;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao.;5;5;4;5;4;3;4;4
31;07/11/2023 10:09;07/11/2023 10:10;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;4;5;5;5;5;5;4;5
32;07/11/2023 10:09;07/11/2023 10:10;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;3;3;3;3;3;2;2;3
33;07/11/2023 10:10;07/11/2023 10:11;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;1;1;5;1;1
34;07/11/2023 10:09;07/11/2023 10:11;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;5;4;3;3;3
35;07/11/2023 10:09;07/11/2023 10:11;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;4;5;5;4;5;5;5
36;07/11/2023 10:10;07/11/2023 10:11;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;4;4;4;5;4;3;3
37;07/11/2023 09:48;07/11/2023 10:11;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;5;4;5;4;5
38;07/11/2023 10:10;07/11/2023 10:11;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;4;4;5;4;4;5;5
39;07/11/2023 10:10;07/11/2023 10:11;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao.;5;5;4;3;2;2;2;3
40;07/11/2023 10:09;07/11/2023 10:12;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;5;4;5;3;2;4
41;07/11/2023 10:09;07/11/2023 10:12;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Sim.;5;5;5;5;5;5;5;5
42;07/11/2023 10:11;07/11/2023 10:13;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;4;3;3;3
43;07/11/2023 10:12;07/11/2023 10:14;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;3;5;4;5;3;3;2;2
44;07/11/2023 10:12;07/11/2023 10:14;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;3;5;5;4;3;3;4;3
45;07/11/2023 10:12;07/11/2023 10:14;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;4;4;3
46;07/11/2023 10:12;07/11/2023 10:14;anonymous;anonymous;Feminino.;Requisitos de Software.;Sim.;Nao Sei.;5;5;4;3;3;2;3;5
47;07/11/2023 10:12;07/11/2023 10:14;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao Sei.;4;5;5;3;4;4;3;4
48;07/11/2023 10:13;07/11/2023 10:16;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;5;3;3
49;07/11/2023 10:15;07/11/2023 10:16;anonymous;anonymous;Masculino.;Requisitos de Software.;Sim.;Nao.;5;5;5;5;5;5;5;2
